year,block,treatment,herb,BSI,N,C,lignin,p
2018,B1,CT,PR,0.156808743,1.9125,46.2995,5.320848468,0.21648078
2018,B1,CT,PU,0.193108092,2.3045,46.7255,5.905283798,0.231164731
2018,B1,F10,PR,0.1710646,2.437,46.2535,6.219927351,0.399738768
2018,B1,F10,PU,0.151959598,2.715,46.643,5.703783422,0.383441719
2018,B1,F2,PR,0.177636893,2.1095,46.617,5.971149676,0.26145369
2018,B1,F2,PU,0.11573611,2.1335,46.065,5.642618814,0.357445261
2018,B1,F5,PR,0.188181795,2.668,46.789,6.589122407,0.34638513
2018,B1,F5,PU,0.1240463,2.86,46.541,5.072124152,0.401128299
2018,B2,CT,PR,0.154304431,2.2545,46.798,6.726062892,0.239443651
2018,B2,CT,PU,0.131039222,2.185,47.8905,7.832423204,0.242002876
2018,B2,F10,PR,0.185362446,2.8535,46.226,7.455932854,0.445675128
2018,B2,F10,PU,0.17828034,2.466,46.5535,6.386385871,0.374964343
2018,B2,F2,PR,0.207255052,2.1665,46.842,6.14959202,0.285299623
2018,B2,F2,PU,0.138767083,2.236,47.291,6.891260915,0.325744387
2018,B2,F5,PR,0.122742999,2.68,46.258,6.275918279,0.362403725
2018,B2,F5,PU,0.123857597,2.4375,46.811,6.340663221,0.295252991
2018,B3,CT,PR,0.11901,2.34,47.293,6.941276794,0.263312286
2018,B3,CT,PU,0.1361415,2.259,47.27,6.943731296,0.324427709
2018,B3,F10,PR,0.194726,3.0435,45.907,7.303592578,0.392088851
2018,B3,F10,PU,0.140218,2.4975,46.8825,7.30862723,0.345948161
2018,B3,F2,PR,,,,,
2018,B3,F2,PU,,,,,
2018,B3,F5,PR,0.169749,2.3355,42.9845,6.906187625,0.379609174
2018,B3,F5,PU,0.1140455,2.6055,47.501,6.723267327,0.332601378
2019,B1,CT,PR,0.1596135,1.6795,46.6445,6.918909846,0.255181143
2019,B1,F10,PR,0.2192135,1.994,45.19,7.41670909,0.458394268
2019,B1,F2,PR,0.172206,1.8475,46.766,6.632872061,0.325566879
2019,B1,F5,PR,0.1715705,2.09,46.823,6.925426357,0.428722435
2019,B2,CT,PR,0.184612,1.877,46.7245,7.935981649,0.221829067
2019,B2,F10,PR,0.1861935,2.4925,45.99,5.477898833,0.441462709
2019,B2,F2,PR,0.2076305,1.8555,46.409,7.313466939,0.262061452
2019,B2,F5,PR,0.111007,1.8805,46.286,6.667322973,0.40181033
2019,B3,CT,PR,0.1182975,2.64,46.3,8.870452529,0.303301074
2019,B3,F10,PR,0.195482,3.24,46.569,,0.360952056
2019,B3,F2,PR,,,,,
2019,B3,F5,PR,0.1293685,2.669,46.5435,7.711244178,0.340068853
2020,B1,CT,PR,,1.5615,47.3425,5.436102313,0.170264282
2020,B1,F10,PR,0.230178,2.036,46.4905,5.837423444,0.427596266
2020,B1,F2,PR,0.673153069,1.631,46.401,3.673588103,0.224561031
2020,B1,F5,PR,0.634379004,1.904,46.193,10.98389288,0.481038436
2020,B2,CT,PR,0.192224,1.809,46.694,6.113779091,0.189177607
2020,B2,F10,PR,0.444067,2.4855,45.559,3.934420917,0.58779263
2020,B2,F2,PR,0.2611935,1.791,46.6015,6.097315688,0.224454648
2020,B2,F5,PR,0.247332,2.321,46.8425,7.349936128,0.387439427
2020,B3,CT,PR,0.173833333,1.780333333,46.524,5.315537862,0.183403679
2020,B3,F10,PR,0.191146,2.448,46.7585,13.92840592,0.261149798
2020,B3,F2,PR,,,,,
2020,B3,F5,PR,0.353839,2.2295,45.986,4.311654792,0.299320741
2021,B1,CT,PR,0.206977,2.1135,46.4995,5.461662735,0.252265258
2021,B1,F10,PR,0.199266,2.8415,45.876,5.01584541,0.567747548
2021,B1,F2,PR,0.1621165,2.5715,47.0375,5.102433331,0.347082668
2021,B1,F5,PR,0.2036235,2.9,44.16,4.442211055,0.516805812
2021,B2,CT,PR,0.1631035,2.173,45.659,4.223534286,0.241900886
2021,B2,F10,PR,0.1980835,2.627,45.2795,4.052646462,0.557327088
2021,B2,F2,PR,0.1353085,2.1905,46.141,4.45864638,0.257094076
2021,B2,F5,PR,0.2591575,2.846,45.8425,3.524229309,0.416984551
2021,B3,CT,PR,0.159276,3.321,45.8005,4.676978073,0.30662323
2021,B3,F10,PR,0.160471,3.333,47.12,4.246515679,0.422698171
2021,B3,F2,PR,,,,,
2021,B3,F5,PR,0.1080195,3.1785,45.755,3.738368843,0.426069024
